stasiun,pm_sepuluh,pm_duakomalima,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida,max,parameter_pencemar_kritis,kategori,tanggal,source
DKI1,62.0,82.0,35.0,12.0,18.0,29.0,82.0,PM25,SEDANG,01/01/1970,
DKI1,48.0,74.0,33.0,21.0,13.0,44.0,74.0,PM25,SEDANG,01/01/1970,
DKI2,,86.0,52.0,26.0,18.0,35.0,86.0,PM25,SEDANG,01/01/1970,
DKI3,39.0,70.0,52.0,21.0,12.0,99.0,99.0,NO2,SEDANG,01/01/1970,
DKI4,70.0,104.0,28.0,12.0,29.0,24.0,104.0,PM25,TIDAK SEHAT,01/01/1970,
DKI5,48.0,78.0,28.0,7.0,37.0,28.0,78.0,PM25,SEDANG,01/01/1970,
DKI1,56.0,91.0,36.0,15.0,24.0,46.0,91.0,PM25,SEDANG,01/01/1970,
DKI2,,88.0,45.0,17.0,29.0,13.0,88.0,PM25,SEDANG,01/01/1970,
DKI3,43.0,73.0,54.0,9.0,21.0,34.0,73.0,PM25,SEDANG,01/01/1970,
DKI4,70.0,102.0,28.0,11.0,29.0,19.0,102.0,PM25,TIDAK SEHAT,01/01/1970,
DKI5,54.0,88.0,29.0,9.0,30.0,37.0,88.0,PM25,SEDANG,01/01/1970,
DKI2,,93.0,50.0,16.0,24.0,16.0,93.0,PM25,SEDANG,01/01/1970,
DKI3,61.0,103.0,54.0,18.0,20.0,80.0,103.0,PM25,TIDAK SEHAT,01/01/1970,
DKI4,76.0,110.0,27.0,12.0,29.0,22.0,110.0,PM25,TIDAK SEHAT,01/01/1970,
DKI5,60.0,102.0,29.0,10.0,31.0,42.0,102.0,PM25,TIDAK SEHAT,01/01/1970,
DKI1,50.0,86.0,37.0,13.0,15.0,33.0,86.0,PM25,SEDANG,01/01/1970,
DKI5,53.0,86.0,26.0,8.0,37.0,26.0,86.0,PM25,SEDANG,01/01/1970,
DKI4,68.0,102.0,27.0,12.0,33.0,21.0,102.0,PM25,TIDAK SEHAT,01/01/1970,
DKI3,61.0,107.0,55.0,15.0,24.0,60.0,107.0,PM25,TIDAK SEHAT,01/01/1970,
DKI2,,97.0,44.0,22.0,19.0,11.0,97.0,PM25,SEDANG,01/01/1970,
DKI1,61.0,105.0,38.0,11.0,20.0,33.0,105.0,PM25,TIDAK SEHAT,01/01/1970,
DKI2,,99.0,43.0,15.0,27.0,14.0,99.0,PM25,SEDANG,01/01/1970,
DKI3,55.0,65.0,54.0,10.0,27.0,37.0,65.0,PM25,SEDANG,01/01/1970,
DKI4,62.0,76.0,24.0,14.0,25.0,25.0,76.0,PM25,SEDANG,01/01/1970,
DKI5,,,,,,,0.0,,TIDAK ADA DATA,01/01/1970,
DKI1,,,,,,,,,TIDAK ADA DATA,01/01/1970,
DKI2,,79.0,45.0,13.0,23.0,15.0,79.0,PM25,SEDANG,01/01/1970,
DKI2,,76.0,47.0,14.0,19.0,19.0,76.0,PM25,SEDANG,01/01/1970,
DKI3,50.0,64.0,55.0,8.0,25.0,30.0,64.0,PM25,SEDANG,01/01/1970,
DKI5,58.0,94.0,25.0,10.0,31.0,37.0,94.0,PM25,SEDANG,01/01/1970,
DKI1,44.0,78.0,30.0,16.0,9.0,32.0,78.0,PM25,SEDANG,01/01/1970,
DKI2,,65.0,38.0,17.0,12.0,21.0,65.0,PM25,SEDANG,01/01/1970,
DKI3,47.0,58.0,51.0,13.0,14.0,64.0,64.0,NO2,SEDANG,01/01/1970,
DKI4,65.0,91.0,26.0,12.0,25.0,28.0,91.0,PM25,SEDANG,01/01/1970,
DKI5,53.0,82.0,25.0,9.0,32.0,31.0,82.0,PM25,SEDANG,01/01/1970,
DKI1,61.0,102.0,35.0,19.0,15.0,45.0,102.0,PM25,TIDAK SEHAT,01/01/1970,
DKI4,72.0,100.0,25.0,14.0,27.0,28.0,100.0,PM25,SEDANG,01/01/1970,
DKI5,59.0,108.0,26.0,18.0,42.0,49.0,108.0,PM25,TIDAK SEHAT,01/01/1970,
