conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,source_keyword
2045688623450968155,Sun Apr 19 02:19:09 +0000 2026,5416,Ikan Sapu-Sapu atau cleaning serfish: Pembersih Akuarium yang Jadi Penjajah Mengerikan di Sungai Kita! Banyak yang ngira ikan ini berjasa bersihin sungai padahal realitanya malah bikin ikan lokal terancam punah. Kok bisa? Sini kita bedah kenapa ikan sapu-sapu itu INVASIF: https://t.co/EH5ugcrv9h,2045688623450968155,https://pbs.twimg.com/amplify_video_thumb/2045688343460188160/img/aGD0tJhtgun0oiR0.jpg,,in,,53,84,1064,https://x.com/undefined/status/2045688623450968155,1156869918370873344,,ikan sapu sapu
2046156628970594623,Mon Apr 20 09:18:50 +0000 2026,1099,Gara-gara berita ikan sapu-sapu yg lagi viral itu siapa nih yg jadi parno klo mau beli siomay ? Tenang tenang siomay dari ikan sapu-sapu ini sebenernya gmpang bgt kok ketahuan ciri-cirinya. Dikutip dari kompas ini ciri perbedaan siomay yg pake ikan sapu2 : 1. Warna https://t.co/NZp9roqxKX,2046156628970594623,https://pbs.twimg.com/media/HGVoIi-bIAAMxiz.jpg,,in,,33,60,224,https://x.com/undefined/status/2046156628970594623,1645760230398242816,,ikan sapu sapu
2045320408241439124,Sat Apr 18 01:56:00 +0000 2026,197,Berbagai olahan ikan sapu-sapu kalo di sini kok populernya isu somay ikan sapu-sapu ya https://t.co/6Ol7dRBq35,2045320408241439124,https://pbs.twimg.com/amplify_video_thumb/2045314366707515392/img/iQF_Q9qpSfFsjIsL.jpg,,in,,11,45,25,https://x.com/undefined/status/2045320408241439124,1720304366467571712,,ikan sapu sapu
2044952135687864508,Fri Apr 17 01:32:37 +0000 2026,220,Hah? Kenapa harus diburu? Ikan lhoo bukan penjahat bukan perampok bukan koruptor. Baru-baru ini Pemprov DKI berencana menggelar kegiatan operasi penangkapan ikan sapu-sapu untuk dimusnahkan. Ikan sapu-sapu berasal dari Amerika Selatan. Dengan sifatnya yang invasif ikan https://t.co/PI3Z9WGWon,2044952135687864508,https://pbs.twimg.com/media/HGEg-YTbcAAhfVA.jpg,,in,,7,55,57,https://x.com/undefined/status/2044952135687864508,1611654278862766080,,ikan sapu sapu
2047978625618837889,Sat Apr 25 09:58:48 +0000 2026,476,Terbongkar! 100 Kg Daging Ikan Sapu-Sapu Siap Edar‼ Aktivitas mencurigakan di bantaran kali berujung penindakan. Lima pria penjual daging ikan sapu-sapu diamankan petugas Satpol PP Kecamatan Sawah Besar Jakarta Pusat Jumat (24/4/2026). Kepala Satpol PP Kecamatan Sawah https://t.co/ZqXFfe84op,2047978625618837889,https://pbs.twimg.com/amplify_video_thumb/2047976561840951296/img/y7uuS1xr62226pO9.jpg,,in,,10,39,117,https://x.com/undefined/status/2047978625618837889,121640063,,ikan sapu sapu
2046004593453359509,Sun Apr 19 23:14:42 +0000 2026,101,ini siomay enak dan murah banget cuma 10k tapi aku ga tau ini pake ikan apaan apa ini siomay ikan sapu sapu? bahaya ga sih https://t.co/Lnf18hlNL9,2046004593453359509,https://pbs.twimg.com/media/HGTeU99aUAAhmoW.jpg,,in,,0,93,4,https://x.com/undefined/status/2046004593453359509,983498946122170368,,ikan sapu sapu
2048326994199499168,Sun Apr 26 09:03:06 +0000 2026,1,-Thread Ikan Sapu-Sapu- Status hukum menangkap ikan sapu-sapu Dalam kerangka UU No. 31/2004 jo. UU No. 45/2009 tentang Perikanan tidak terdapat norma yang melarang secara eksplisit penangkapan ikan sapu-sapu Karena tidak ada larangan spesifik maka ... https://t.co/GaEIdULXQM https://t.co/20VBpWm9TD,2048326994199499168,https://pbs.twimg.com/media/HG0ehEbbIAAGe_7.jpg,,in,,0,1,3,https://x.com/undefined/status/2048326994199499168,795498951336075264,,ikan sapu sapu
2046778518000799987,Wed Apr 22 02:30:00 +0000 2026,3398,Berang-berang predator alami ikan sapu-sapu yg menjaga ekosistem di Amazon https://t.co/rYtCe2WrpZ,2046778518000799987,https://pbs.twimg.com/amplify_video_thumb/2046759115448614912/img/vvWpWiiOXEmsdSOq.jpg,,in,,28,89,501,https://x.com/undefined/status/2046778518000799987,224431376,,ikan sapu sapu
2045932153717112943,Sun Apr 19 18:26:51 +0000 2026,3304,tau kan? Jakarta lg rame bgt buat membasmi ikan sapu sapu dari sungai krn dianggap sbg hama dan bikin orang2 takut buat makan siomay gerobakan krn khawatir terbuat dari dagingnya. lahhhh ternyata di daerah asalnya itu ikan malah jajanan yg banyak peminatnya https://t.co/jenjb7wZNy,2045932153717112943,https://pbs.twimg.com/amplify_video_thumb/2045932035349557248/img/97HB8nbUSeOkpVAa.jpg,,in,,194,843,556,https://x.com/undefined/status/2045932153717112943,64187541,,ikan sapu sapu
2046054197293101152,Mon Apr 20 02:31:49 +0000 2026,1928,Kirain ikan sapu sapu tpi kok bau asem taunya ikan panu panu,2046054197293101152,,,in,,1,22,76,https://x.com/undefined/status/2046054197293101152,1632317790089797632,,ikan sapu sapu
